account,post_url,date_utc,format,likes,comments,video_views,driver_category,caption,hashtags,mentions
databutmakeitfashion,https://www.instagram.com/p/DcTjOOZxgLw/,2026-08-21 14:28:28,Video,16118.0,34,114262.0,Uncategorized/other,specifically that baby pink woven leather intreciato duffel but hey i’ll take any of them too,,
databutmakeitfashion,https://www.instagram.com/p/DcQ9bjBju-7/,2026-08-20 14:18:22,Image/Carousel,28496.0,37,,Trend & data analysis,blah blah blah 💸🥱 anyway here r some thoughts and data insights on fashion’s “hemline index” and instances where it has held true esp when it comes to menswear,,
databutmakeitfashion,https://www.instagram.com/p/DcJa6jdOKdv/,2026-08-17 16:02:47,Video,,135,21865.0,Creator personal update/behind-the-scenes,"coming soon… 👀⚡️🛩️ i’ve been working on a new series releasing later this week, and thank u so much to the instagram drafts fund for helping it come to life!!! @instagram @creators 

lmk what city u think the first episode will be in tooo🕺🏻
thank u to my dear friend @stellapatel for helping me film this and shoutout to the @ancaravelo leopard print clutch",,"instagram, creators, stellapatel, ancaravelo"
databutmakeitfashion,https://www.instagram.com/p/DcJNb8lDsYT/,2026-08-17 14:04:18,Image/Carousel,41327.0,343,,Trend & data analysis,"i get it!!! everything is incredibly chic!!! ok!!! 🤨👀
i took a look at some data on the recent rise in use of the word “chic” across fashion media (and social media in general) and how its been objectively losing its value orrrrr the importance of understanding when fads *stop resonating w people too!!",,
databutmakeitfashion,https://www.instagram.com/p/DcERVdyjtdw/,2026-08-15 16:02:10,Image/Carousel,8989.0,18,,Trend & data analysis,likeeeee ok fine i’ll take it🩵👀🦋🪩!!! checking in on the popularity of blue eyeshadow in 2026 so far bc while it does fluctuate month to month it has been *overall growing in popularity around 2% monthly and i am personally grateful for that,,
databutmakeitfashion,https://www.instagram.com/p/DcC3nDrus-i/,2026-08-15 02:59:26,Video,44152.0,101,255289.0,Community engagement/interactive prompt,"don’t get it twisted 😌💞✨🪩 and allll thanks to her incredible stylist @simonebeyene !!! comment ur fave mine is the @ralphlauren golden sequin monochrome

first dress is @cliopeppiatt, gold dress is @ralphlauren, white skirt set is custom @chanelofficial",,"simonebeyene, ralphlauren, cliopeppiatt, ralphlauren, chanelofficial"
databutmakeitfashion,https://www.instagram.com/p/Db_cw_ClH8R/,2026-08-13 19:05:51,Image/Carousel,6020.0,64,,Trend & data analysis,i know that’s rightttt 🕶️✨🧥🖤✏️ here’s a little overview of some incredible independent designers u should know and the data (!!!!) on why now is their time to shine / ppl are objectively craving new and bold fashion rn!!!,,
databutmakeitfashion,https://www.instagram.com/p/Db52WYDuGld/,2026-08-11 14:56:25,Video,22971.0,194,118942.0,Trend & data analysis,"thoughts on a possible pink🩷🌸💞🎀 resurgence in fashion as the color rly has not been able to “stick” on a large scale since 2023!! the data mentioned in this video is this month vs last, what do u think??",,
databutmakeitfashion,https://www.instagram.com/p/Db3hMM6pvP5/,2026-08-10 17:11:44,Video,53925.0,510,367589.0,Runway/show/collection recap,pick ur player🤤🕶️✨!!!!! personally i looooved the street style and *also pierpaolo’s couture and am interested to see how the new direction for balenciaga continues tooooo,,
databutmakeitfashion,https://www.instagram.com/p/Db3X1_FjoBv/,2026-08-10 15:48:55,Image/Carousel,23032.0,41,,Trend & data analysis,"bc it’s almost time for (meg ryan) fall 👀🍂☕️ sooo here is some data on how fall fashion is becoming more popular earlier in the yr and how this (and other seasonal shifts in fashion trends we’ve seen this yr) correlate w rising global temperatures 

📸 first image is meg ryan in “you’ve got mail” (1998), second is from “the devil wears prada” (2006), teyana in burberry (2026), gossip girl (2009), and the rest is my footage xo",,
databutmakeitfashion,https://www.instagram.com/p/Dbvm5Q1OQBR/,2026-08-07 15:27:47,Video,32513.0,38,175770.0,Runway/show/collection recap,and u know what thank goodness for that 😌🪽🍀 feat some of my favorite jonathan x dior moments i got to witness from runway shows to sabrinachellaaaa,,
databutmakeitfashion,https://www.instagram.com/p/Dbs4Ho_uqYG/,2026-08-06 14:01:35,Video,10391.0,41,76596.0,Trend & data analysis,"never too early to talk about fall fashion🍂👢🎃☕️ aaand the data backs this up too!!! some thoughts on fall fashion becoming popular earlier and earlier in the yr (which is a pattern i found and posted about *last august, too) and the inevitable correlation w climate change",,
databutmakeitfashion,https://www.instagram.com/p/DbqayBCjhgs/,2026-08-05 15:04:28,Image/Carousel,16445.0,21,,Community engagement/interactive prompt,a truly horrible sound 🤨👟💃🏻 anywayyy here is a roundup of some luxury fashion items that have seen appreciations in value over the past couple of yrs comment ur favorite mine is the @dior air jordan,,dior
databutmakeitfashion,https://www.instagram.com/p/DbiykxCjoaS/,2026-08-02 15:58:26,Image/Carousel,33089.0,75,,Fashion history/archive/designer profile/museum,bringing back this post from last spring in honor of the recent announcement that next yrs @metmuseum exhibit will b dedicated to john galliano titled “john galliano: horizons” 👗✨ and i’m curious 2 hear ur thoughts!!!,,metmuseum
databutmakeitfashion,https://www.instagram.com/p/DbgCJhwOBr1/,2026-08-01 14:17:54,Video,15838.0,25,109268.0,Trend & data analysis,checking in on all the neutral tones we’ve been seeing across fashion lately and what it says about how the fashion pendulum has been slowlyyyyy moving back towards boldness sigh 👀🪽,,
databutmakeitfashion,https://www.instagram.com/p/DbYQgJADmCG/,2026-07-29 13:48:18,Image/Carousel,17444.0,47,,Humor/meme/relatable lifestyle,some non-negotiables xo 🩵🩵🩵🩵,,
databutmakeitfashion,https://www.instagram.com/p/DbV7Bfzjnsf/,2026-07-28 16:02:08,Image/Carousel,29561.0,413,,Trend & data analysis,"helpppp it keeps happening!! 😩😩 swipe for some data on the popularity of mascara lately updated from when i first reported on this back in april, and what it can tell us about the state of beauty overall 

like a prioritization of convenience; dominance of color cosmetics; simplification of our makeup bags… 

personallyyy u can pry my @tartecosmetics tubing mascara out of my cold dead hands 👁️👁️👁️",,tartecosmetics
databutmakeitfashion,https://www.instagram.com/p/DbTrv1up9I-/,2026-07-27 19:10:56,Video,23920.0,33,120405.0,Humor/meme/relatable lifestyle,the way i’d do anything to witness that😭😭😭,,
databutmakeitfashion,https://www.instagram.com/p/DbTpd6MJLLh/,2026-07-27 18:52:16,Video,10542.0,41,61587.0,Runway/show/collection recap,"ya tú lo sabes!!! ✨💃🏻🇨🇴 here is @jbalvin’s latest collection for colombian brand @velezartisan, showing off the incredible leather craftsmanship and bold aesthetics and overall fashion talent of latin america

such a dream to see in person!!!! thank you for having me in medellín this year @colombiamoda_oficial ✨🤍",,"jbalvin’s, velezartisan, colombiamoda_oficial"
diet_prada,https://www.instagram.com/p/DcQ_Iq1Dq61/,2026-08-20 14:33:16,Image/Carousel,63099.0,982,,Humor/meme/relatable lifestyle,"~nvr 4get~

#fashion #meme #lol #threads #viral","fashion, meme, lol, threads, viral",
diet_prada,https://www.instagram.com/p/DcMN83Slr_v/,2026-08-18 18:06:31,Image/Carousel,53929.0,715,,Death/tragedy,"Hayden Panettiere’s claims that Neutrogena ended their 10-year partnership after she spoke out about postpartum depression are going viral following the actor’s tragic death on Sunday.

In her 2026 memoir ‘This Is Me: A Reckoning’ and interviews during her press tour in May, Panettiere alleged the company fired her for violating a contractual “morals clause” after she opened up about her postpartum experience on ‘Live with Kelly and Michael’ in 2015.

At the time, she called her postpartum struggles “really painful… really scary, and women need a lot of support,” adding, “there’s a lot of misunderstanding, and I feel like there’s a lot of people out there who think that it’s not real.”

In a viral clip from Jay Shetty’s ‘On Purpose’ podcast posted in May, she said being dropped was the last thing she expected, adding that she never planned to discuss postpartum depression on the show, but she “wouldn’t change it for the world.” 

Now, Neutrogena’s social media is flooded with people slamming the brand and calling for a boycott. Swipe through for some of the discourse. 

RIP Hayden 🤍

#haydenpanettiere #neutrogena #boycott #beauty #news","haydenpanettiere, neutrogena, boycott, beauty, news",
